Time[s], Channel 1
0.00000000, 0
1.31281893, 1
1.31282505, 0
1.31481715, 1
1.31482327, 0
1.31681268, 1
1.31681879, 0
1.31880877, 1
1.31881489, 0
1.32080543, 1
1.32081154, 0
1.32280268, 1
1.32280880, 0
1.32480024, 1
1.32480636, 0
1.32679752, 1
1.32680363, 0
1.32879446, 1
1.32880057, 0
1.33079000, 1
1.33079611, 0
1.33877979, 1
1.33880414, 0
1.34077806, 1
1.34080241, 0
1.34277459, 1
1.34279893, 0
1.34477319, 1
1.34479753, 0
1.34676980, 1
1.34679415, 0
1.34876785, 1
1.34879220, 0
1.35076579, 1
1.35079012, 0
1.35276158, 1
1.35278591, 0
1.35475886, 1
1.35478318, 0
1.35675493, 1
1.35677926, 0
1.38071856, 1
1.38072593, 0
1.38271566, 1
1.38272302, 0
1.38471244, 1
1.38471981, 0
1.38670906, 1
1.38671642, 0
1.38870751, 1
1.38871487, 0
1.39070471, 1
1.39071207, 0
1.39270232, 1
1.39270968, 0
1.39470003, 1
1.39470739, 0
1.39669753, 1
1.39670490, 0
1.39869651, 1
1.39870387, 0
1.40668666, 1
1.40671100, 0
1.40868268, 1
1.40870701, 0
1.41068055, 1
1.41070489, 0
1.41267879, 1
1.41270313, 0
1.41467492, 1
1.41469926, 0
1.41667292, 1
1.41669726, 0
1.41867097, 1
1.41869530, 0
1.42066731, 1
1.42069164, 0
1.42266557, 1
1.42268992, 0
1.42466368, 1
1.42468802, 0
1.44863283, 1
1.44864270, 0
1.45063073, 1
1.45064060, 0
1.45262876, 1
1.45263863, 0
1.45462475, 1
1.45463462, 0
1.45662208, 1
1.45663194, 0
1.45861892, 1
1.45862878, 0
1.46061562, 1
1.46062548, 0
1.46261282, 1
1.46262268, 0
1.46461025, 1
1.46462011, 0
1.46660771, 1
1.46661758, 0
1.47459884, 1
1.47462789, 0
1.47659716, 1
1.47662620, 0
1.47859462, 1
1.47862365, 0
1.48059228, 1
1.48062132, 0
1.48259001, 1
1.48261903, 0
1.48458752, 1
1.48461655, 0
1.48658596, 1
1.48661501, 0
1.48858595, 1
1.48861499, 0
1.49058363, 1
1.49061267, 0
1.49258149, 1
1.49261053, 0
1.51755146, 1
1.51756633, 0
1.51954926, 1
1.51956413, 0
1.52154856, 1
1.52156342, 0
1.52354614, 1
1.52356099, 0
1.52554342, 1
1.52555828, 0
1.52754287, 1
1.52755774, 0
1.52954000, 1
1.52955486, 0
1.53153656, 1
1.53155141, 0
1.53353335, 1
1.53354820, 0
1.53553187, 1
1.53554673, 0
1.54351968, 1
1.54355338, 0
1.54551529, 1
1.54554898, 0
1.54751284, 1
1.54754653, 0
1.54950998, 1
1.54954366, 0
1.55150752, 1
1.55154123, 0
1.55350361, 1
1.55353731, 0
1.55550116, 1
1.55553486, 0
1.55749872, 1
1.55753242, 0
1.55949484, 1
1.55952853, 0
1.56149208, 1
1.56152577, 0
1.58645395, 1
1.58647879, 0
1.58845121, 1
1.58847606, 0
1.59044853, 1
1.59047338, 0
1.59244597, 1
1.59247081, 0
1.59444329, 1
1.59446813, 0
1.59644045, 1
1.59646528, 0
1.59843774, 1
1.59846260, 0
1.60043504, 1
1.60045988, 0
1.60243249, 1
1.60245734, 0
1.60442965, 1
1.60445449, 0
1.61241984, 1
1.61246297, 0
1.61441752, 1
1.61446065, 0
1.61641373, 1
1.61645688, 0
1.61841251, 1
1.61845566, 0
1.62041102, 1
1.62045415, 0
1.62240833, 1
1.62245148, 0
1.62440706, 1
1.62445020, 0
1.62640564, 1
1.62644879, 0
1.62840434, 1
1.62844748, 0
1.63040129, 1
1.63044444, 0
1.65536799, 1
1.65541280, 0
1.65736588, 1
1.65741069, 0
1.65936185, 1
1.65940668, 0
1.66135965, 1
1.66140445, 0
1.66335565, 1
1.66340046, 0
1.66535395, 1
1.66539876, 0
1.66734989, 1
1.66739470, 0
1.66934763, 1
1.66939245, 0
1.67134387, 1
1.67138870, 0
1.67334204, 1
1.67338684, 0
1.68133124, 1
1.68139313, 0
1.68332820, 1
1.68339007, 0
1.68532497, 1
1.68538686, 0
1.68732148, 1
1.68738339, 0
1.68931809, 1
1.68937999, 0
1.69131482, 1
1.69137671, 0
1.69331175, 1
1.69337365, 0
1.69530842, 1
1.69537031, 0
1.69730527, 1
1.69736715, 0
1.69930246, 1
1.69936437, 0
1.72426997, 1
1.72435473, 0
1.72626691, 1
1.72635171, 0
1.72826559, 1
1.72835035, 0
1.73026167, 1
1.73034641, 0
1.73225910, 1
1.73234385, 0
1.73425557, 1
1.73434031, 0
1.73625341, 1
1.73633819, 0
1.73825141, 1
1.73833617, 0
1.74024671, 1
1.74033143, 0
1.74224394, 1
1.74232864, 0
1.75022971, 1
1.75032922, 0
1.75222593, 1
1.75232546, 0
1.75422396, 1
1.75432342, 0
1.75622046, 1
1.75632002, 0
1.75821693, 1
1.75831645, 0
1.76021297, 1
1.76031251, 0
1.76221122, 1
1.76231077, 0
1.76420777, 1
1.76430733, 0
1.76620427, 1
1.76630382, 0
1.76820086, 1
1.76830034, 0
1.79316519, 1
1.79332982, 0
1.79516283, 1
1.79532745, 0
1.79715878, 1
1.79732344, 0
1.79915686, 1
1.79932152, 0
1.80115479, 1
1.80131943, 0
1.80315045, 1
1.80331504, 0
1.80514796, 1
1.80531263, 0
1.80714563, 1
1.80731025, 0
1.80914132, 1
1.80930588, 0
1.81113828, 1
1.81130287, 0
1.81912301, 1
1.81929743, 0
1.82111901, 1
1.82129343, 0
1.82311525, 1
1.82328970, 0
1.82511192, 1
1.82528631, 0
1.82710839, 1
1.82728281, 0
1.82910472, 1
1.82927914, 0
1.83110120, 1
1.83127567, 0
1.83309750, 1
1.83327193, 0
1.83509393, 1
1.83526833, 0
1.83709024, 1
1.83726464, 0
1.86205303, 1
1.86237747, 0
1.86405042, 1
1.86437476, 0
1.86604588, 1
1.86637026, 0
1.86804343, 1
1.86836791, 0
1.87004104, 1
1.87036535, 0
1.87203818, 1
1.87236258, 0
1.87403380, 1
1.87435815, 0
1.87603145, 1
1.87635597, 0
1.87802946, 1
1.87835398, 0
1.88002759, 1
1.88035205, 0
1.88801907, 1
1.88834342, 0
1.89001534, 1
1.89033961, 0
1.89201326, 1
1.89233757, 0
1.89401168, 1
1.89433612, 0
1.89600817, 1
1.89633239, 0
1.89800586, 1
1.89833020, 0
1.90000361, 1
1.90032784, 0
1.90199920, 1
1.90232345, 0
1.90399690, 1
1.90432117, 0
1.90599445, 1
1.90631872, 0
1.93095464, 1
1.93159861, 0
1.93395084, 1
1.93459468, 0
1.93694666, 1
1.93759039, 0
1.93994054, 1
1.94058454, 0
1.94293692, 1
1.94358086, 0
1.94593252, 1
1.94657642, 0
1.94892804, 1
1.94957182, 0
1.95192440, 1
1.95256841, 0
1.95491886, 1
1.95556289, 0
1.95791508, 1
1.95855898, 0
1.96590243, 1
1.96652599, 0
1.96889819, 1
1.96952210, 0
1.97189391, 1
1.97251755, 0
1.97488754, 1
1.97551109, 0
1.97788293, 1
1.97850660, 0
1.98087844, 1
1.98150194, 0
1.98387270, 1
1.98449620, 0
1.98686641, 1
1.98749035, 0
1.98986225, 1
1.99048610, 0
1.99285803, 1
1.99348169, 0
2.01981444, 1
2.02110102, 0
2.02480520, 1
2.02609178, 0
2.02979919, 1
2.03108599, 0
2.03479257, 1
2.03607912, 0
2.03978551, 1
2.04107226, 0
2.04477739, 1
2.04606406, 0
2.04977105, 1
2.05105789, 0
2.05476411, 1
2.05605099, 0
2.05975801, 1
2.06104461, 0
2.06474879, 1
2.06603547, 0
2.07473548, 1
2.07595753, 0
2.07972815, 1
2.08095054, 0
2.08472280, 1
2.08594496, 0
2.08971583, 1
2.09093829, 0
2.09470901, 1
2.09593090, 0
2.09970139, 1
2.10092381, 0
2.10469550, 1
2.10591757, 0
2.10968733, 1
2.11090968, 0
2.11468037, 1
2.11590258, 0
2.11967255, 1
2.12089464, 0
2.14963167, 1
2.15220108, 0
2.15762260, 1
2.16019270, 0
2.16561499, 1
2.16818429, 0
2.17360426, 1
2.17617307, 0
2.18159458, 1
2.18416409, 0
2.18958790, 1
2.19215781, 0
2.19757926, 1
2.20014853, 0
2.20557171, 1
2.20814142, 0
2.21356438, 1
2.21613378, 0
2.22155704, 1
2.22412773, 0
2.23454912, 1
2.23697069, 0
2.24254412, 1
2.24496496, 0
2.25053799, 1
2.25295860, 0
2.25853104, 1
2.26095248, 0
2.26652462, 1
2.26894655, 0
2.27451986, 1
2.27694108, 0
2.28251278, 1
2.28493333, 0
2.29050594, 1
2.29292743, 0
2.29850026, 1
2.30092128, 0
2.30649403, 1
2.30891426, 0
2.34144882, 1
2.34658638, 0
2.35543631, 1
2.36057298, 0
2.36941913, 1
2.37455567, 0
2.38340143, 1
2.38853826, 0
2.39738407, 1
2.40252048, 0
2.41136559, 1
2.41650393, 0
2.42535141, 1
2.43048773, 0
2.43933260, 1
2.44446923, 0
2.45331639, 1
2.45845427, 0
2.46729804, 1
2.47243332, 0
2.48726454, 1
2.49207902, 0
2.50124297, 1
2.50605524, 0
2.51522163, 1
2.52003670, 0
2.52920034, 1
2.53401380, 0
2.54318067, 1
2.54799422, 0
2.55715806, 1
2.56197303, 0
2.57114121, 1
2.57595568, 0
2.58512268, 1
2.58993676, 0
2.59910093, 1
2.60391427, 0
2.61307815, 1
2.61789036, 0
